Identifier,Approximate Zip Code,Reading Timestamp,Reading Day,Reading Time String,Concentration
Sensor 63533,94040,12/15/21 07:00:58,Wednesday,Morning,0.36
Sensor 63533,94040,12/15/21 12:59:00,Wednesday,Midday,0.64
Sensor 63533,94040,12/15/21 18:59:03,Wednesday,Evening,0.33
Sensor 63533,94040,12/16/21 00:59:05,Thursday,Night,0.0
Sensor 63533,94040,12/16/21 06:59:08,Thursday,Morning,2.95
Sensor 63533,94040,12/16/21 12:59:10,Thursday,Midday,0.83
Sensor 63533,94040,12/16/21 18:59:13,Thursday,Evening,3.64
Sensor 63533,94040,12/17/21 00:59:15,Friday,Night,4.86
Sensor 63533,94040,12/17/21 06:59:18,Friday,Morning,3.51
Sensor 63533,94040,12/17/21 12:59:20,Friday,Midday,0.82
Sensor 63533,94040,12/17/21 18:59:23,Friday,Evening,12.39
Sensor 63533,94040,12/18/21 00:59:25,Saturday,Night,2.19
Sensor 63533,94040,12/18/21 06:59:28,Saturday,Morning,6.47
Sensor 63533,94040,12/18/21 12:59:30,Saturday,Midday,22.21
Sensor 67271,94028,12/11/21 18:59:57,Saturday,Evening,1.02
Sensor 67271,94028,12/12/21 01:00:02,Sunday,Night,0.61
Sensor 67271,94028,12/12/21 07:00:05,Sunday,Morning,1.74
Sensor 67271,94028,12/12/21 13:00:12,Sunday,Midday,0.68
Sensor 67271,94028,12/12/21 19:00:13,Sunday,Evening,0.0
Sensor 67271,94028,12/13/21 01:00:22,Monday,Night,0.0
Sensor 67271,94028,12/13/21 07:00:26,Monday,Morning,0.0
Sensor 67271,94028,12/13/21 13:00:31,Monday,Midday,0.44
Sensor 67271,94028,12/13/21 19:00:33,Monday,Evening,0.0
Sensor 67271,94028,12/14/21 01:00:37,Tuesday,Night,0.0
Sensor 67271,94028,12/14/21 07:00:40,Tuesday,Morning,0.0
Sensor 67271,94028,12/14/21 13:00:44,Tuesday,Midday,0.0
Sensor 67271,94028,12/14/21 19:00:48,Tuesday,Evening,0.17
Sensor 67271,94028,12/15/21 01:00:51,Wednesday,Night,0.0
Sensor 67271,94028,12/15/21 07:00:55,Wednesday,Morning,0.22
Sensor 67271,94028,12/15/21 13:00:58,Wednesday,Midday,0.58
Sensor 67271,94028,12/15/21 18:59:02,Wednesday,Evening,0.0
Sensor 67271,94028,12/16/21 00:59:06,Thursday,Night,0.0
Sensor 67271,94028,12/16/21 06:59:09,Thursday,Morning,0.0
Sensor 67271,94028,12/16/21 12:59:13,Thursday,Midday,0.67
Sensor 67271,94028,12/16/21 18:59:17,Thursday,Evening,1.95
Sensor 67271,94028,12/17/21 00:59:21,Friday,Night,4.3
Sensor 67271,94028,12/17/21 06:59:24,Friday,Morning,2.66
Sensor 67271,94028,12/17/21 12:59:28,Friday,Midday,1.36
Sensor 67271,94028,12/17/21 18:59:32,Friday,Evening,3.72
Sensor 67271,94028,12/18/21 00:59:35,Saturday,Night,0.59
Sensor 67271,94028,12/18/21 06:59:39,Saturday,Morning,1.09
Sensor 67271,94028,12/18/21 12:59:43,Saturday,Midday,14.59
Sensor 86947,94040,12/11/21 19:00:25,Saturday,Evening,4.02
Sensor 86947,94040,12/12/21 01:00:29,Sunday,Night,2.79
Sensor 86947,94040,12/12/21 07:00:33,Sunday,Morning,0.82
Sensor 86947,94040,12/12/21 13:00:36,Sunday,Midday,0.84
Sensor 86947,94040,12/12/21 19:00:40,Sunday,Evening,0.95
Sensor 86947,94040,12/13/21 01:00:45,Monday,Night,0.41
Sensor 86947,94040,12/13/21 07:00:49,Monday,Morning,0.0
Sensor 86947,94040,12/13/21 13:00:53,Monday,Midday,0.0
Sensor 86947,94040,12/13/21 19:00:56,Monday,Evening,0.1
Sensor 86947,94040,12/14/21 00:59:00,Tuesday,Night,0.0
Sensor 86947,94040,12/14/21 06:59:04,Tuesday,Morning,0.0
Sensor 86947,94040,12/14/21 12:59:07,Tuesday,Midday,0.0
Sensor 86947,94040,12/14/21 18:59:22,Tuesday,Evening,2.1
Sensor 86947,94040,12/15/21 00:59:25,Wednesday,Night,1.63
Sensor 86947,94040,12/15/21 06:59:30,Wednesday,Morning,0.25
Sensor 86947,94040,12/15/21 12:59:33,Wednesday,Midday,0.0
Sensor 86947,94040,12/15/21 18:59:39,Wednesday,Evening,0.0
Sensor 86947,94040,12/16/21 00:59:42,Thursday,Night,0.0
Sensor 86947,94040,12/16/21 06:59:45,Thursday,Morning,0.0
Sensor 86947,94040,12/16/21 12:59:49,Thursday,Midday,0.24
Sensor 86947,94040,12/16/21 18:59:52,Thursday,Evening,1.84
Sensor 86947,94040,12/17/21 00:59:58,Friday,Night,1.71
Sensor 86947,94040,12/17/21 07:00:00,Friday,Morning,1.2
Sensor 86947,94040,12/17/21 13:00:06,Friday,Midday,0.89
Sensor 86947,94040,12/17/21 19:00:09,Friday,Evening,3.65
Sensor 86947,94040,12/18/21 01:00:12,Saturday,Night,4.41
Sensor 86947,94040,12/18/21 07:00:17,Saturday,Morning,1.62
Sensor 86947,94040,12/18/21 13:00:21,Saturday,Midday,5.44
Sensor 21397,94040,12/11/21 19:00:53,Saturday,Evening,8.86
Sensor 21397,94040,12/12/21 01:00:57,Sunday,Night,5.6
Sensor 21397,94040,12/12/21 06:59:00,Sunday,Morning,1.09
Sensor 21397,94040,12/12/21 12:59:04,Sunday,Midday,0.61
Sensor 21397,94040,12/12/21 18:59:16,Sunday,Evening,0.29
Sensor 21397,94040,12/13/21 00:59:19,Monday,Night,0.65
Sensor 21397,94040,12/13/21 06:59:23,Monday,Morning,0.09
Sensor 21397,94040,12/13/21 12:59:26,Monday,Midday,0.0
Sensor 21397,94040,12/13/21 18:59:30,Monday,Evening,1.05
Sensor 21397,94040,12/14/21 00:59:33,Tuesday,Night,0.46
Sensor 21397,94040,12/14/21 06:59:37,Tuesday,Morning,0.0
Sensor 21397,94040,12/14/21 12:59:40,Tuesday,Midday,0.0
Sensor 21397,94040,12/14/21 18:59:44,Tuesday,Evening,0.41
